split,class,gt,well_populated,ap50_single,ap50_two_stage,delta_ap50,e2e_single,e2e_two_stage,delta_e2e
val,person,1917,True,0.815519,0.809027,-0.006492,0.896714,0.933229,0.036515
val,rickshaw,1587,True,0.876115,0.872088,-0.004027,0.923756,0.923756,0.000000
val,rickshaw_van,240,False,0.632696,0.661370,0.028674,0.816667,0.883333,0.066666
val,auto_rickshaw,590,True,0.913961,0.903457,-0.010504,0.896610,0.938983,0.042373
val,truck,65,False,0.581862,0.450550,-0.131312,0.600000,0.523077,-0.076923
val,pickup_truck,74,False,0.675203,0.549119,-0.126084,0.621622,0.689189,0.067567
val,private_car,1420,True,0.872999,0.844601,-0.028398,0.861972,0.914085,0.052113
val,motorcycle,860,True,0.846803,0.856684,0.009881,0.854651,0.926744,0.072093
val,bicycle,146,False,0.500058,0.532903,0.032845,0.636986,0.815068,0.178082
val,bus,182,False,0.721376,0.703098,-0.018278,0.741758,0.835165,0.093407
val,micro_bus,241,False,0.683561,0.570508,-0.113053,0.614108,0.659751,0.045643
val,covered_van,40,False,0.462508,0.552083,0.089575,0.325000,0.675000,0.350000
val,human_hauler,23,False,0.399223,0.464578,0.065355,0.347826,0.695652,0.347826
test,person,844,True,0.848432,0.844755,-0.003677,0.945498,0.972749,0.027251
test,rickshaw,1129,True,0.940411,0.939965,-0.000446,0.976971,0.976971,0.000000
test,rickshaw_van,83,False,0.657810,0.630191,-0.027619,0.759036,0.783133,0.024097
test,auto_rickshaw,228,False,0.902965,0.915074,0.012109,0.912281,0.964912,0.052631
test,truck,29,False,0.424409,0.325775,-0.098634,0.448276,0.413793,-0.034483
test,pickup_truck,65,False,0.532630,0.740332,0.207702,0.476923,0.876923,0.400000
test,private_car,543,True,0.934214,0.931909,-0.002305,0.941068,0.976059,0.034991
test,motorcycle,509,True,0.924439,0.929135,0.004696,0.966601,0.990177,0.023576
test,bicycle,121,False,0.795636,0.799694,0.004058,0.677686,0.892562,0.214876
test,bus,86,False,0.734549,0.796406,0.061857,0.918605,0.941860,0.023255
test,micro_bus,105,False,0.786155,0.811147,0.024992,0.666667,0.885714,0.219047
test,covered_van,24,False,0.391875,0.458484,0.066609,0.375000,0.708333,0.333333
test,human_hauler,39,False,0.787607,0.735328,-0.052279,0.564103,0.897436,0.333333
