epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2067.07,0.88536,0.73037,0.96934,0.72829,0.65724,0.71926,0.54409,0.90077,0.73741,0.98125,0.00999591,0.00333197,0.00999591,0.00333197,0.00999591,0.00333197,0.00999591,0.00333197
2,3910.83,0.87254,0.64206,0.96528,0.69962,0.63259,0.68778,0.51638,0.92809,0.75752,0.99837,0.0186762,0.00622539,0.0186762,0.00622539,0.0186762,0.00622539,0.0186762,0.00622539
3,5676.75,0.89772,0.66752,0.98206,0.71156,0.66399,0.71049,0.53615,0.93954,0.78042,1.01716,0.0262839,0.00876131,0.0262839,0.00876131,0.0262839,0.00876131,0.0262839,0.00876131
4,7414.36,0.87286,0.63938,0.97585,0.75662,0.63602,0.71703,0.55012,0.88672,0.71414,0.99944,0.0247588,0.00825294,0.0247588,0.00825294,0.0247588,0.00825294,0.0247588,0.00825294
5,9156.17,0.80904,0.56888,0.95023,0.79587,0.68244,0.76696,0.59968,0.83819,0.65509,0.96297,0.0230118,0.00767059,0.0230118,0.00767059,0.0230118,0.00767059,0.0230118,0.00767059
6,10891.5,0.76851,0.52662,0.93361,0.75514,0.69459,0.75779,0.59823,0.82558,0.63345,0.9706,0.0212647,0.00708824,0.0212647,0.00708824,0.0212647,0.00708824,0.0212647,0.00708824
7,12627.1,0.73641,0.49589,0.92066,0.74114,0.70529,0.7682,0.6084,0.80236,0.6106,0.95757,0.0195176,0.00650588,0.0195176,0.00650588,0.0195176,0.00650588,0.0195176,0.00650588
8,14352.3,0.71245,0.45514,0.9043,0.75047,0.6847,0.75913,0.59588,0.82082,0.63665,0.97028,0.0177706,0.00592353,0.0177706,0.00592353,0.0177706,0.00592353,0.0177706,0.00592353
9,16070.4,0.69259,0.43914,0.89742,0.80959,0.69066,0.77562,0.61825,0.80553,0.60076,0.95888,0.0168,0.0056,0.0168,0.0056,0.0168,0.0056,0.0168,0.0056
10,17789.4,0.67218,0.42057,0.88926,0.7699,0.70287,0.768,0.614,0.80307,0.61293,0.95075,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
11,19509.1,0.65322,0.40352,0.88262,0.79038,0.69251,0.77802,0.62198,0.7921,0.59682,0.95205,0.0135,0.0045,0.0135,0.0045,0.0135,0.0045,0.0135,0.0045
12,21228.1,0.6324,0.38785,0.87674,0.77508,0.69293,0.77285,0.62002,0.78914,0.60169,0.9524,0.01185,0.00395,0.01185,0.00395,0.01185,0.00395,0.01185,0.00395
13,22945.1,0.61427,0.3709,0.87029,0.78611,0.69564,0.77055,0.61977,0.78571,0.60038,0.94576,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
14,24664.2,0.59577,0.35586,0.86291,0.75026,0.69186,0.76125,0.61032,0.78734,0.60456,0.94686,0.00855,0.00285,0.00855,0.00285,0.00855,0.00285,0.00855,0.00285
15,26384.9,0.57828,0.34121,0.85951,0.76234,0.7107,0.77123,0.62179,0.78319,0.60641,0.94591,0.0069,0.0023,0.0069,0.0023,0.0069,0.0023,0.0069,0.0023
16,28103.4,0.5603,0.32683,0.85309,0.8114,0.66539,0.76394,0.6128,0.77807,0.61644,0.94316,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
17,29822.7,0.54316,0.31249,0.84746,0.80808,0.67841,0.76058,0.61413,0.77803,0.62608,0.9435,0.0036,0.0012,0.0036,0.0012,0.0036,0.0012,0.0036,0.0012
18,30613.4,0.5268,0.30158,0.8431,0.80741,0.6744,0.75772,0.61364,0.77761,0.62849,0.94216,0.00195,0.00065,0.00195,0.00065,0.00195,0.00065,0.00195,0.00065
