epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1802.6,0.88536,0.73037,0.96934,0.72829,0.65724,0.71926,0.54409,0.90077,0.73741,0.98125,0.00999591,0.00333197,0.00999591,0.00333197,0.00999591,0.00333197,0.00999591,0.00333197
2,3393.42,0.87279,0.64166,0.96801,0.73597,0.63821,0.71485,0.54221,0.91358,0.75446,1.00156,0.0188314,0.00627715,0.0188314,0.00627715,0.0188314,0.00627715,0.0188314,0.00627715
3,4913.3,0.8993,0.66842,0.9854,0.72461,0.60543,0.6979,0.52643,0.93689,0.80709,1.02831,0.02687,0.00895667,0.02687,0.00895667,0.02687,0.00895667,0.02687,0.00895667
4,6408.66,0.87272,0.63995,0.97785,0.78302,0.66485,0.7562,0.58593,0.87299,0.68751,0.99103,0.0253105,0.00843684,0.0253105,0.00843684,0.0253105,0.00843684,0.0253105,0.00843684
5,7903.2,0.81297,0.57265,0.95188,0.79362,0.67881,0.7726,0.60507,0.85181,0.65612,0.9808,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,9395.7,0.77345,0.53162,0.93517,0.80501,0.69411,0.78509,0.61715,0.81852,0.61934,0.9598,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,10889.4,0.74196,0.50198,0.92297,0.78917,0.6927,0.77123,0.61318,0.80151,0.61779,0.95711,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,12384.5,0.72162,0.47986,0.91506,0.79382,0.71438,0.78388,0.62654,0.78654,0.595,0.94459,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,13880.1,0.69816,0.4603,0.90825,0.78027,0.71457,0.78695,0.62654,0.78908,0.58984,0.9496,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,15375.4,0.68163,0.44408,0.90173,0.84007,0.69251,0.79384,0.63658,0.77425,0.58649,0.94166,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,16865,0.66197,0.40999,0.88749,0.7734,0.72077,0.779,0.62147,0.78355,0.5944,0.94799,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,18352.5,0.64331,0.39665,0.88101,0.78299,0.7044,0.78237,0.62591,0.78806,0.60045,0.95285,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,19840.4,0.63153,0.38642,0.87758,0.79815,0.70513,0.78803,0.63264,0.77296,0.59029,0.94491,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
14,21328.6,0.61684,0.37443,0.87238,0.79852,0.69981,0.78905,0.63491,0.77351,0.58472,0.9458,0.0116143,0.00387143,0.0116143,0.00387143,0.0116143,0.00387143,0.0116143,0.00387143
15,22817,0.60177,0.36184,0.86715,0.77902,0.70614,0.78161,0.62698,0.76809,0.58896,0.94453,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
16,24304.1,0.58693,0.34817,0.86161,0.78956,0.69877,0.77013,0.61761,0.77083,0.59598,0.94579,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857
17,25791.6,0.57171,0.33532,0.85677,0.79147,0.67326,0.77139,0.62262,0.76511,0.59908,0.9404,0.00737143,0.00245714,0.00737143,0.00245714,0.00737143,0.00245714,0.00737143,0.00245714
18,27280.1,0.55582,0.32417,0.85191,0.77575,0.69334,0.77343,0.62212,0.76753,0.60452,0.93935,0.00595714,0.00198571,0.00595714,0.00198571,0.00595714,0.00198571,0.00595714,0.00198571
19,28768.3,0.54109,0.31144,0.84803,0.7705,0.70528,0.77043,0.61951,0.76794,0.61311,0.94288,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429
20,30255.4,0.52492,0.29924,0.84457,0.7727,0.71179,0.76743,0.61766,0.76686,0.62583,0.94465,0.00312857,0.00104286,0.00312857,0.00104286,0.00312857,0.00104286,0.00312857,0.00104286
21,30613.6,0.5086,0.28798,0.84218,0.77543,0.70935,0.76699,0.61741,0.76706,0.62863,0.9454,0.00171429,0.000571429,0.00171429,0.000571429,0.00171429,0.000571429,0.00171429,0.000571429
