epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1469.28,0.88404,0.70602,0.99641,0.73629,0.6238,0.70383,0.53142,0.91649,0.76073,1.03285,0.00999796,0.00333265,0.00999796,0.00333265,0.00999796,0.00333265,0.00999796,0.00333265
2,2863.75,0.8998,0.66604,1.01308,0.802,0.6221,0.73294,0.56116,0.89362,0.71347,1.02855,0.0198,0.00659999,0.0198,0.00659999,0.0198,0.00659999,0.0198,0.00659999
3,4231.53,0.91576,0.68285,1.02676,0.74666,0.65848,0.73061,0.55367,0.89221,0.71293,1.0405,0.029404,0.00980133,0.029404,0.00980133,0.029404,0.00980133,0.029404,0.00980133
4,5597.53,0.88207,0.64548,1.01241,0.76982,0.66317,0.74375,0.5739,0.87103,0.66752,1.02737,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,6960.21,0.82314,0.57903,0.98483,0.74928,0.69431,0.7466,0.58555,0.83328,0.63109,1.00934,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1351.06,0.78725,0.54092,0.97081,0.77542,0.69061,0.77257,0.60763,0.82128,0.6123,1.00465,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2709.48,0.76078,0.51621,0.9595,0.77301,0.6966,0.76599,0.60156,0.8021,0.5929,0.98993,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4065.36,0.74314,0.49662,0.95114,0.79776,0.68021,0.7709,0.61453,0.79319,0.58964,0.98425,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,5423.28,0.72449,0.47986,0.94275,0.79211,0.6894,0.77931,0.61937,0.78342,0.57509,0.98475,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,6778.78,0.71332,0.46856,0.93972,0.7935,0.69517,0.78182,0.62359,0.78291,0.56983,0.9808,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,8134.73,0.69936,0.45524,0.93343,0.79172,0.70867,0.78867,0.63323,0.77622,0.56226,0.98081,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,9492.88,0.69116,0.44835,0.92996,0.81248,0.68546,0.78335,0.62732,0.77306,0.56279,0.98128,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,10848.9,0.68143,0.43973,0.92702,0.79122,0.69646,0.78797,0.63472,0.76872,0.56544,0.9802,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,12228.9,0.67319,0.43116,0.92167,0.7949,0.70777,0.78783,0.63531,0.76681,0.54739,0.97614,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
