epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,350.849,1.29658,2.52012,0.00552,0.49982,0.42464,0.45404,0.32473,1.20687,1.65457,0.00764,0.00999358,0.00333119,0.00999358,0.00333119,0.00999358,0.00333119,0.00999358,0.00333119
2,666.921,1.24311,1.3659,0.00517,0.55628,0.46474,0.51853,0.38311,1.14748,1.30048,0.00732,0.0197956,0.00659855,0.0197956,0.00659855,0.0197956,0.00659855,0.0197956,0.00659855
3,971.281,1.2523,1.15073,0.0053,0.53965,0.51582,0.53825,0.38854,1.2053,1.19362,0.00779,0.0293997,0.0097999,0.0293997,0.0097999,0.0293997,0.0097999,0.0293997,0.0097999
4,1276.13,1.26374,1.08148,0.00543,0.64691,0.46345,0.54646,0.39992,1.16449,1.12143,0.00756,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1584.7,1.23616,1.0025,0.00526,0.68281,0.51439,0.59736,0.44208,1.16793,1.07742,0.00757,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1888.46,1.21105,0.94391,0.00509,0.66846,0.53997,0.61085,0.4538,1.14416,1.03077,0.00733,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2181.75,1.19258,0.91024,0.00494,0.71276,0.58493,0.64888,0.48551,1.12281,0.97894,0.0073,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2481.66,1.17223,0.87923,0.00484,0.66835,0.54419,0.61348,0.45968,1.11118,1.00252,0.0071,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2781.66,1.16253,0.85591,0.00478,0.64653,0.58406,0.6226,0.46214,1.10227,0.98483,0.00703,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3079.29,1.13987,0.83597,0.00469,0.69617,0.53271,0.62716,0.4716,1.08638,0.9357,0.00686,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3378.29,1.13665,0.82002,0.00465,0.7172,0.56153,0.64839,0.48899,1.09317,0.94921,0.00695,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,294.265,1.12238,0.80462,0.00458,0.68874,0.57319,0.64458,0.49373,1.07563,0.96402,0.00675,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,561.564,1.11409,0.79508,0.00452,0.6835,0.56942,0.64225,0.49463,1.06269,0.92258,0.0066,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,829.941,1.10115,0.77936,0.00446,0.73502,0.55979,0.64689,0.49024,1.06333,0.9294,0.00656,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1103.08,1.08845,0.76734,0.00442,0.73462,0.57754,0.66266,0.50887,1.03827,0.90653,0.00642,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1375.17,1.08428,0.75936,0.0044,0.70589,0.59668,0.66228,0.50217,1.03486,0.90631,0.00642,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1646.44,1.07791,0.74659,0.00433,0.70227,0.59946,0.66476,0.50959,1.02984,0.88994,0.00642,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1915.81,1.07074,0.73527,0.00426,0.7169,0.60488,0.68236,0.52455,1.02588,0.87358,0.00635,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2186.46,1.06603,0.73011,0.00425,0.71578,0.58487,0.66508,0.51312,1.02411,0.89269,0.0063,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2456.83,1.06223,0.72222,0.00423,0.73377,0.60331,0.68117,0.52785,1.02105,0.88802,0.00629,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2749.22,1.0514,0.7142,0.0042,0.71266,0.60655,0.68085,0.52902,1.01791,0.87213,0.00629,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3027.6,1.05064,0.71072,0.00417,0.71118,0.60555,0.66668,0.51844,1.01523,0.86201,0.00627,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
